Month,Agency,Police Force,Felony Type,Felony Count,Crimes per Million Riders
01/01/2020,MNR,MTAPD,Burglary,0,0
01/01/2020,MNR,MTAPD,Felony Assault,1,0.14
01/01/2020,MNR,MTAPD,Murder,0,0
01/01/2020,MNR,MTAPD,Rape,0,0
01/01/2020,MNR,MTAPD,Robbery,3,0.43
01/01/2020,MNR,MTAPD,Grand Larceny,4,0.58
01/01/2020,MNR,MTAPD,Grand Larceny Auto,0,0
01/01/2020,LIRR,MTAPD,Burglary,0,0
01/01/2020,LIRR,MTAPD,Felony Assault,3,0.42
01/01/2020,LIRR,MTAPD,Murder,0,0
01/01/2020,LIRR,MTAPD,Rape,0,0
01/01/2020,LIRR,MTAPD,Robbery,2,0.28
01/01/2020,LIRR,MTAPD,Grand Larceny,5,0.7
01/01/2020,LIRR,MTAPD,Grand Larceny Auto,0,0
01/01/2020,NYCT,NYPD,Burglary,0,0
01/01/2020,NYCT,NYPD,Felony Assault,33,0.18
01/01/2020,NYCT,NYPD,Murder,0,0
01/01/2020,NYCT,NYPD,Rape,1,0.01
01/01/2020,NYCT,NYPD,Robbery,75,0.41
01/01/2020,NYCT,NYPD,Grand Larceny,152,0.83
02/01/2020,MNR,MTAPD,Burglary,1,0.16
02/01/2020,MNR,MTAPD,Felony Assault,1,0.16
02/01/2020,MNR,MTAPD,Murder,0,0
02/01/2020,MNR,MTAPD,Rape,0,0
02/01/2020,MNR,MTAPD,Robbery,1,0.16
02/01/2020,MNR,MTAPD,Grand Larceny,2,0.32
02/01/2020,MNR,MTAPD,Grand Larceny Auto,0,0
02/01/2020,LIRR,MTAPD,Burglary,2,0.3
02/01/2020,LIRR,MTAPD,Felony Assault,0,0
02/01/2020,LIRR,MTAPD,Murder,0,0
02/01/2020,LIRR,MTAPD,Rape,0,0
02/01/2020,LIRR,MTAPD,Robbery,1,0.15
02/01/2020,LIRR,MTAPD,Grand Larceny,1,0.15
02/01/2020,LIRR,MTAPD,Grand Larceny Auto,0,0
02/01/2020,NYCT,NYPD,Burglary,1,0.01
02/01/2020,NYCT,NYPD,Felony Assault,43,0.25
02/01/2020,NYCT,NYPD,Murder,0,0
02/01/2020,NYCT,NYPD,Rape,1,0.01
02/01/2020,NYCT,NYPD,Robbery,76,0.44
02/01/2020,NYCT,NYPD,Grand Larceny,145,0.83
