month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2024-06,A DIVISION,1,1,7536,9237,0.815849302
2024-06,A DIVISION,1,2,3346,3610,0.926869806
2024-06,A DIVISION,2,1,4777,6552,0.729090354
2024-06,A DIVISION,2,2,1547,2457,0.62962963
2024-06,A DIVISION,3,2,1671,2114,0.790444655
2024-06,A DIVISION,3,1,5203,6028,0.863138686
2024-06,A DIVISION,4,2,2128,2670,0.797003745
2024-06,A DIVISION,4,1,5972,7404,0.806591032
2024-06,A DIVISION,5,1,5101,6468,0.788651824
2024-06,A DIVISION,5,2,1241,1510,0.821854305
2024-06,A DIVISION,6,1,9023,11383,0.792673285
2024-06,A DIVISION,6,2,2453,3370,0.727893175
2024-06,A DIVISION,7,2,3771,4060,0.928817734
2024-06,A DIVISION,7,1,11627,12820,0.906942278
2024-06,B DIVISION,A,1,5617,7485,0.750434202
2024-06,B DIVISION,A,2,1694,2805,0.603921569
2024-06,B DIVISION,B,1,2858,3922,0.728709842
2024-06,B DIVISION,C,1,3203,4328,0.740064695
2024-06,B DIVISION,C,2,869,1560,0.557051282
2024-06,B DIVISION,D,2,1388,2160,0.642592593
2024-06,B DIVISION,D,1,4167,5482,0.760124042
2024-06,B DIVISION,E,2,1710,2100,0.814285714
2024-06,B DIVISION,E,1,6652,8200,0.811219512
2024-06,B DIVISION,F,2,1419,2098,0.676358437
2024-06,B DIVISION,F,1,6470,8276,0.781778637
2024-06,B DIVISION,G,2,2216,2474,0.895715441
2024-06,B DIVISION,G,1,5344,5970,0.895142379
2024-06,B DIVISION,JZ,2,2121,2460,0.862195122
2024-06,B DIVISION,JZ,1,4722,5582,0.845933357
2024-06,B DIVISION,L,2,3441,3730,0.922520107
2024-06,B DIVISION,L,1,10271,10914,0.941084845
2024-06,B DIVISION,M,2,2140,2384,0.897651007
2024-06,B DIVISION,M,1,4473,5402,0.828026657
2024-06,B DIVISION,N,2,1918,2600,0.737692308
2024-06,B DIVISION,N,1,7506,9487,0.791187941
2024-06,B DIVISION,Q,1,5114,6293,0.812648975
2024-06,B DIVISION,Q,2,1913,2552,0.74960815
2024-06,B DIVISION,R,1,4795,6035,0.794531897
2024-06,B DIVISION,R,2,1686,2078,0.811357074
2024-06,A DIVISION,S 42nd,2,3470,3470,1
2024-06,A DIVISION,S 42nd,1,10525,10624,0.990681476
2024-06,B DIVISION,S Fkln,1,4679,4687,0.998293151
2024-06,B DIVISION,S Fkln,2,1261,1272,0.991352201
2024-06,B DIVISION,S Rock,2,1495,1565,0.955271565
2024-06,B DIVISION,S Rock,1,3245,3360,0.96577381
2024-06,Systemwide,Systemwide,1,138880,165939,0.836934054
2024-06,Systemwide,Systemwide,2,44898,55099,0.814860524
2024-05,A DIVISION,1,1,8358,10341,0.808239048
2024-05,A DIVISION,1,2,2423,2740,0.884306569
2024-05,A DIVISION,2,2,1432,2048,0.69921875
2024-05,A DIVISION,2,1,5574,7181,0.776215012
2024-05,A DIVISION,3,1,5599,6384,0.877036341
2024-05,A DIVISION,3,2,1616,1876,0.861407249
2024-05,A DIVISION,4,1,6713,8140,0.824692875
2024-05,A DIVISION,4,2,1743,2388,0.729899497
2024-05,A DIVISION,5,2,1379,1626,0.848093481
2024-05,A DIVISION,5,1,5934,7138,0.831325301
2024-05,A DIVISION,6,1,9272,12221,0.758694051
2024-05,A DIVISION,6,2,2112,2776,0.760806916
2024-05,A DIVISION,7,1,12774,14100,0.905957447
2024-05,A DIVISION,7,2,3074,3206,0.958827199
